,Year,Refugees,Distance (Km),HDI asylum,LE asylum,EYS asylum,MYS asylum,GNIPC asylum,GDI asylum,GII asylum,PHDI asylum,HDI diff,LE diff,EYS diff,MYS diff,GNIPC diff,GDI diff,GII diff,PHDI diff
count,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0,14185.0
mean,2016.7817412759957,13832.298554811421,4970.4155045541065,0.8332323581247798,77.13867536129715,15.602022116086713,10.859806551576453,36292.06102438859,0.9608199506520972,0.21494395488191753,0.6992240394783222,0.207936200211491,9.407296580895311,3.8843974726963695,3.875629751643637,27737.245585990036,0.06518385618611205,-0.2587514275643285,0.112755727881565
std,2.851072553626234,107847.8908740762,3561.874493027545,0.14406614556143152,7.4137113913975545,2.944404575257564,3.0045893473086362,20468.902655419228,0.04968647766489712,0.19011244046624567,0.09549203552960168,0.15398948826872538,8.132113926587012,3.291867093381855,3.590132561637683,20067.946411504898,0.09395950233122984,0.20827931643776007,0.11628986365287002
min,2012.0,100.0,162.1818,0.354,50.5401,5.139976,1.078641415,731.7867086,0.485,0.013,0.346,-0.408,-25.009500000000003,-10.049679276000004,-8.524773457,-48322.28823,-0.425,-0.8039999999999999,-0.303
25%,2014.0,220.0,2081.843,0.766,74.7901,14.62423038,9.573026174,14384.35666,0.964,0.075,0.669,0.1019999999999999,3.994500000000002,1.4911077500000012,1.1945800799999995,8954.440250000001,0.002,-0.433,0.029
50%,2017.0,577.0,4183.525,0.905,80.8471,16.0998913,11.84057999,43047.83087,0.975,0.117,0.721,0.19,8.582100000000011,3.693703580000001,3.689279556,31723.40952,0.05,-0.247,0.1019999999999999
75%,2019.0,2461.0,7220.953,0.93,82.0508,17.17250061,13.20003033,52116.77307,0.988,0.354,0.775,0.3340000000000001,15.153899999999991,6.236455469999999,6.573828493999999,43172.37163,0.1109999999999999,-0.097,0.197
max,2021.0,3737369.0,19110.13,0.962,84.7839,23.08892059,14.1321497,94985.79979,1.03,0.82,0.82,0.5790000000000001,32.0515,15.801159175,12.899078845,84079.75607,0.5109999999999999,0.4599999999999999,0.4429999999999999
