,Year,Refugees,Distance (Km),HDI asylum,LE asylum,EYS asylum,MYS asylum,GNIPC asylum,GDI asylum,GII asylum,PHDI asylum,HDI diff,LE diff,EYS diff,MYS diff,GNIPC diff,GDI diff,GII diff,PHDI diff
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,2017.81,1007464.27,1255.4299440000002,0.6747799999999998,71.286006,12.19422149779,7.691948085719999,12723.610881730001,0.8938200000000001,0.45169,0.6263900000000001,0.14022999999999997,6.492983000000001,2.82857413609,2.1062198980500004,9147.785969106999,0.05279999999999999,-0.10150999999999996,0.10774999999999997
std,2.6080489243722385,749735.3394023282,962.2865932746301,0.147621655360293,7.398590142188229,3.3837393437297196,3.0222375960671717,12999.52905595701,0.06320663243551569,0.13648803514364818,0.11280983328082923,0.11432346940399268,5.858702317653611,3.087797366893491,3.563463216561409,12270.344332098057,0.07499629620484229,0.11624282273922908,0.07595271987602324
min,2012.0,338529.0,228.363,0.386,50.7806,6.919909954,2.066441272,1364.169417,0.741,0.073,0.373,-0.1159999999999999,-13.067099999999996,-3.166970254999999,-3.045004844,-2792.9885510000004,-0.1039999999999999,-0.4039999999999999,-0.1019999999999999
25%,2016.0,580222.5,753.7882,0.525,65.43645,9.60392277025,5.463518699,3920.8249985,0.87375,0.4195,0.52,0.05975,3.633675000000001,1.3565118849999993,-1.24622579,1614.50606125,0.0089999999999998,-0.1639999999999999,0.053
50%,2018.0,833370.0,893.7339,0.7215,74.22115,11.28587,8.4477242325,10032.27608,0.8935,0.46950000000000003,0.6735,0.128,6.913150000000005,2.2749581975,2.1532570030000002,5113.228777,0.0515,-0.0714999999999999,0.1134999999999999
75%,2020.0,1053714.5,1601.213,0.776,76.58510000000001,14.780910015,9.994785069499999,14428.9986625,0.93625,0.534,0.71175,0.20424999999999993,10.17435,4.60735994,3.6227395144999996,11070.56653525,0.0845,-0.029499999999999974,0.1522499999999999
max,2021.0,3737369.0,4840.624,0.948,81.5584,18.3382206,14.1321497,55564.96736,0.992,0.701,0.806,0.3809999999999999,15.8198,9.174000744,9.0696497,50650.670074,0.2299999999999999,0.1329999999999999,0.2410000000000001
